epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,7355.08,0.61175,0.77179,1.16432,0.77373,0.77999,0.8291,0.63178,0.89742,0.91336,1.52595,0.003961,0.003961,0.003961
63,7473.03,0.61238,0.77089,1.16468,0.77508,0.76498,0.82703,0.62971,0.89325,0.91794,1.51877,0.003862,0.003862,0.003862
64,7590.94,0.6101,0.76485,1.16275,0.78059,0.76365,0.82689,0.6292,0.89869,0.91441,1.52078,0.003763,0.003763,0.003763
65,7709.68,0.60586,0.73878,1.15657,0.76104,0.78533,0.82344,0.62713,0.90431,0.91273,1.53182,0.003664,0.003664,0.003664
66,7829.17,0.59513,0.74105,1.15247,0.80383,0.74984,0.82494,0.62832,0.9012,0.91502,1.52498,0.003565,0.003565,0.003565
67,7947.98,0.59158,0.74475,1.15051,0.7839,0.76527,0.82899,0.62766,0.9049,0.91656,1.53928,0.003466,0.003466,0.003466
68,8067.1,0.5838,0.71685,1.14807,0.76141,0.78025,0.82358,0.62726,0.90485,0.92058,1.54133,0.003367,0.003367,0.003367
69,8185.03,0.58327,0.71651,1.1475,0.77589,0.76654,0.82131,0.62424,0.90592,0.92276,1.54791,0.003268,0.003268,0.003268
70,8303,0.57868,0.70518,1.1392,0.77418,0.76411,0.82043,0.62303,0.90923,0.92203,1.55786,0.003169,0.003169,0.003169
71,8420.88,0.57598,0.6972,1.13933,0.77216,0.76807,0.82233,0.62563,0.91434,0.91943,1.56418,0.00307,0.00307,0.00307
72,8538.92,0.5703,0.69062,1.13327,0.7518,0.79232,0.822,0.62495,0.91835,0.91593,1.5724,0.002971,0.002971,0.002971
73,8657.75,0.56469,0.68166,1.12723,0.77531,0.773,0.82463,0.62638,0.91898,0.91937,1.57461,0.002872,0.002872,0.002872
74,8775.49,0.55799,0.66105,1.12676,0.7778,0.78419,0.82738,0.62927,0.91674,0.91347,1.57126,0.002773,0.002773,0.002773
75,8893.21,0.55612,0.66106,1.12209,0.77475,0.77631,0.82403,0.62637,0.91285,0.91163,1.5665,0.002674,0.002674,0.002674
76,9012.14,0.55197,0.65379,1.11802,0.79296,0.77187,0.82528,0.6298,0.91077,0.91191,1.56612,0.002575,0.002575,0.002575
77,9132.09,0.54892,0.63574,1.11657,0.80074,0.76898,0.82431,0.62807,0.91067,0.90883,1.5667,0.002476,0.002476,0.002476
78,9251.18,0.54363,0.63685,1.11338,0.80704,0.75645,0.8222,0.62475,0.9133,0.91407,1.57342,0.002377,0.002377,0.002377
79,9368.83,0.53453,0.62487,1.10807,0.76859,0.78867,0.82271,0.62459,0.9142,0.9178,1.57493,0.002278,0.002278,0.002278
80,9486.79,0.54069,0.62767,1.11333,0.78739,0.77095,0.82363,0.62609,0.91635,0.9218,1.57843,0.002179,0.002179,0.002179
81,9606.54,0.53244,0.61782,1.10789,0.78416,0.77229,0.82252,0.6261,0.91785,0.92118,1.58105,0.00208,0.00208,0.00208
82,9724.81,0.52693,0.61956,1.1038,0.78608,0.7688,0.82337,0.62686,0.91482,0.92069,1.5806,0.001981,0.001981,0.001981
83,9842.74,0.52482,0.6016,1.1001,0.79324,0.7624,0.82312,0.62619,0.91359,0.91949,1.58124,0.001882,0.001882,0.001882
84,9962.34,0.52067,0.59018,1.09505,0.78806,0.7704,0.82085,0.62342,0.91647,0.92542,1.58734,0.001783,0.001783,0.001783
85,10081.3,0.51722,0.58839,1.09802,0.78025,0.77802,0.81893,0.6211,0.91864,0.93365,1.59064,0.001684,0.001684,0.001684
86,10199,0.50911,0.57782,1.08982,0.78087,0.77891,0.8191,0.62003,0.91998,0.93992,1.59216,0.001585,0.001585,0.001585
87,10316.8,0.50707,0.57144,1.08841,0.77755,0.77343,0.81929,0.61844,0.92073,0.93946,1.59347,0.001486,0.001486,0.001486
88,10434.4,0.50806,0.57568,1.09119,0.78335,0.7713,0.82045,0.62017,0.92107,0.93948,1.59465,0.001387,0.001387,0.001387
89,10552.2,0.50343,0.56293,1.08866,0.77692,0.77469,0.8217,0.62146,0.9224,0.94193,1.59782,0.001288,0.001288,0.001288
90,10671.2,0.49268,0.5531,1.07959,0.7866,0.75932,0.82068,0.62102,0.92404,0.94245,1.60147,0.001189,0.001189,0.001189
91,10810.3,0.4241,0.33428,1.07472,0.76662,0.78079,0.8204,0.62001,0.92264,0.9457,1.60007,0.00109,0.00109,0.00109
92,10929.8,0.40204,0.30051,1.0539,0.76359,0.79005,0.82017,0.62088,0.921,0.9446,1.59951,0.000991,0.000991,0.000991
93,11049.3,0.39353,0.29182,1.04486,0.76103,0.79113,0.8203,0.62166,0.92084,0.94465,1.60223,0.000892,0.000892,0.000892
94,11167.7,0.38663,0.28587,1.04434,0.76076,0.7924,0.82027,0.62114,0.92069,0.9463,1.60463,0.000793,0.000793,0.000793
95,11284.9,0.37594,0.27375,1.02993,0.76063,0.79082,0.82013,0.62057,0.92062,0.94883,1.60684,0.000694,0.000694,0.000694
96,11404.5,0.3713,0.26665,1.02649,0.75811,0.79069,0.82059,0.62108,0.9211,0.95018,1.61035,0.000595,0.000595,0.000595
97,11523.5,0.36451,0.2603,1.01916,0.75996,0.78833,0.82002,0.62095,0.92189,0.95066,1.61384,0.000496,0.000496,0.000496
98,11641.7,0.35895,0.25933,1.01666,0.76022,0.78462,0.81935,0.61971,0.92126,0.95155,1.61545,0.000397,0.000397,0.000397
99,11759.5,0.35419,0.25704,1.01656,0.76548,0.78503,0.82046,0.62117,0.92306,0.95226,1.62081,0.000298,0.000298,0.000298
100,11879.3,0.34919,0.25102,1.01042,0.77811,0.77041,0.81915,0.62024,0.92232,0.95322,1.6219,0.000199,0.000199,0.000199
